"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"203060_s_at",-1.20755916666667,11.59836875,-12.0348823748616,2.26245047279775e-22,5.30899054078185e-20,40.3239762719526
"213620_s_at",-1.38803,10.8587033333333,-12.033986217197,2.27361487747833e-22,5.31238860795417e-20,40.3191219020413
"201292_at",2.63876216666667,7.56667041666667,12.0316760082115,2.30265079410005e-22,5.35733753903916e-20,40.3066076160144
"1555579_s_at",-1.37832983333333,9.64310925,-12.0297424415349,2.32723819652316e-22,5.39159950825862e-20,40.296133379532
"238891_at",-1.55794766666667,5.36392433333333,-12.0287694595372,2.33971000160093e-22,5.39762212394644e-20,40.2908626129602
"206030_at",-1.6501755,6.35123358333333,-12.0165644505819,2.50196140287362e-22,5.74767813874433e-20,40.2247425763812
"214774_x_at",3.1959625,7.18053325,12.0141754328901,2.53501574678724e-22,5.79924627429257e-20,40.2117993352179
"203256_at",1.975129,8.31318366666667,12.0095832790525,2.59978601762423e-22,5.9226375214002e-20,40.1869191407441
"205507_at",-1.18922533333333,7.98398233333333,-12.0011634514824,2.72288038309625e-22,6.17732302679615e-20,40.1412980234675
"205846_at",-1.916391,7.73667666666667,-11.9878409202733,2.92968605848025e-22,6.61903244823998e-20,40.0691056025169
